name,author,type,url,previewURL,price,timeHours,timeMinutes,productImage
The Benoni is back in business,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/kasimdzhanov_benoni_back_in_business,//youtube.com/embed/HN2yC59AnaY,29.65,5,45,https://shop.chessbase.com/en/pics/bp_8458
Sicilian Dragon: The Real Deal! Part 1: Understanding The Dragon,Chris Ward,FritzTrainer,https://shop.chessbase.com/en/products/ward_sicilian_dragon_part_1,//youtube.com/embed/n52ojzDiaOI,29.65,5,20,https://shop.chessbase.com/en/pics/bp_8515
An Attacking Repertoire with 1.d4 Vol.3,Nicholas Pert,FritzTrainer,https://shop.chessbase.com/en/products/pert_attacking_repertoire_with_d4_vol_3,//youtube.com/embed/JeJ8Bl31m98,29.65,5,,https://shop.chessbase.com/en/pics/bp_8441
How to combat rare lines as Black,Sergei Tiviakov,FritzTrainer,https://shop.chessbase.com/en/products/tiviakov_how_to_combat_rare_lines_as_black,//youtube.com/embed/Q-9t639OxCU,27.67,,,https://shop.chessbase.com/en/pics/bp_6616
Power Play 21: A repertoire for black against the Anti-Sicilians,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/king_powerplay21_repertoire_against_anti_sicilians,//youtube.com/embed/g4vxeKGbJks,29.65,5,22,https://shop.chessbase.com/en/pics/bp_6705
A Repertoire against the Sicilian,Lorin D'Costa,FritzTrainer,https://shop.chessbase.com/en/products/dcosta_murphy_a_repertoire_against_the_sicilian,//youtube.com/embed/NJe90s7q02I,27.67,6,,https://shop.chessbase.com/en/pics/bp_7786
Ruy Lopez: Attack with the Schliemann,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_ruy_lopez_attack_with_the_schliemann,//youtube.com/embed/1oxuBI3x_eY,29.65,,48,https://shop.chessbase.com/en/pics/bp_7812
Catastrophe in the Opening,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_catastrophe_in_the_opening,//youtube.com/embed/QYi8yuxg2Vc,29.65,5,35,https://shop.chessbase.com/en/pics/bp_7882
The Classical French - Main Line,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/kasimdzhanov_classical_french_main_line,//youtube.com/embed/5GGjwEvNAXY,29.65,5,05,https://shop.chessbase.com/en/pics/bp_7863
The Spanish Fianchetto,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_the_spanish_fianchetto,//youtube.com/embed/ce2LNjx6Gfw,29.65,4,9,https://shop.chessbase.com/en/pics/bp_7974
Open Games with ...Bc5,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_open_games_with_bc5,//youtube.com/embed/hE2JjztOGP4,29.65,,13,https://shop.chessbase.com/en/pics/bp_8026
Smash the Sicilian with the Smith-Morra Gambit,Michael Rahal,FritzTrainer,https://shop.chessbase.com/en/products/rahal_smith_morra_gambit,//youtube.com/embed/zhDOB7KoDEM,29.65,,5,https://shop.chessbase.com/en/pics/bp_8177
The Popular Italian,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_the_popular_italian,//youtube.com/embed/rTTloMTIl6w,29.65,,,https://shop.chessbase.com/en/pics/bp_8138
The Vienna Variation,Yannick Pelletier,FritzTrainer,https://shop.chessbase.com/en/products/pelletier_vienna_variation,//youtube.com/embed/r-py_49zcA0,29.65,,22,https://shop.chessbase.com/en/pics/bp_8181
My Black Secrets in the Modern Italian,Wesley So,FritzTrainer,https://shop.chessbase.com/en/products/wesley_so_my_black_secrets_in_the_modern_italian,//youtube.com/embed/M4SAb9FfW-0,34.61,,04,https://shop.chessbase.com/en/pics/bp_8123
