author,authorURL,name,url,previewExcerpt,type,producer,productImage,date
ddtru,https://www.chess.com/member/ddtru,Five Tips To Become A World Chess Champion: Vasily Smyslov's Story,https://www.chess.com/article/view/five-tips-to-become-a-world-chess-champion,"
                  In the past few years, I wrote a biography of the seventh world champion, Vasily Smyslov. The first volume, focused on the beginning of his chess career, is now available. 
I have analyzed hundreds of Smyslov’s games and tracked every step ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Make The Most Of Your Pieces,https://www.chess.com/article/view/make-the-most-of-your-pieces,"
                  Learn the strengths and weaknesses of each piece and how they can help you win games!  
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
Using Your Bishops: Bishops are most useful when controlling lo...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
ColinStapczynski,https://www.chess.com/member/colinstapczynski,10 Fastest Checkmates,https://www.chess.com/article/view/fastest-chess-checkmates,"
                  Learning basic checkmates is one of the most important things a chess player can do when starting their journey through the magnificent labyrinth of chess. By learning the following checkmates, you can avoid some quick losses and maybe even notch ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Winning The Game,https://www.chess.com/article/view/learn-how-to-win,"
                  How can you win a chess game? In this lesson and video series for beginners, NM Dane Mattson demonstrates the key checkmates that you'll want to know. 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
Four-Move...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Intro To Book Openings,https://www.chess.com/article/view/intro-to-book-openings-1,"
                  Want to know the ideas behind the most popular openings? 
NM Dane Mattson breaks down the key ideas behind the most popular ways to start a chess game. 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
1.e4 Op...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Learn Chess Opening Principles,https://www.chess.com/article/view/learn-chess-opening-principles,"
                  How should you start out a chess game? In this lesson and video series for beginners, NM Dane Mattson demonstrates the key principles that will help you get a good position early in each game! 
Try The Challenges!
Not what you're looking for?&nb...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Finding Checkmate,https://www.chess.com/article/view/finding-checkmate-1,"
                  How can you force checkmates and win games? NM Dane Mattson will show you how! 
 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
Pawn Race: When both sides only have kings and pawns it's essential to co...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,How To Play Chess,https://www.chess.com/article/view/how-to-play-chess,"
                  You know how the pieces move. Now it's time to learn everything else! Follow along and learn how to win chess games! 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
The Language of Chess: This video demo...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,How To Move The Pieces,https://www.chess.com/article/view/how-to-move-the-pieces,"
                  Are you ready to start playing chess? Watch these videos to learn what you need to know to get started! 
Not what you're looking for? Go back to the video guide. 
Want to skip ahead and try the quiz? Check out the challenges here! 
Try The...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
PeterDoggers,https://www.chess.com/member/peterdoggers,2019 World Rapid & Blitz Chess Championships,https://www.chess.com/article/view/2019-world-rapid-blitz-chess-championships,"
                  The 2019 World Rapid & Blitz Chess Championships are underway in Moscow. 

How to watch
Dates & schedule
Participants
Location
Prizes
Time control

How to watch
You can follow the games here (women's games here) as part...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
SmarterChess,https://www.chess.com/member/smarterchess,Chess.com Lessons vs Improvement: The Stats,https://www.chess.com/article/view/chess-lessons-improvement-stats,"
                  Background
On January 1, 2018, Chess.com announced a new lessons feature. 
The Chess.com lessons originally ranged in level from players new to chess (0-400 rating) through advanced (1000-1600 rating). In May of 2018, the site introduced th...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Capturing Pieces,https://www.chess.com/article/view/capturing-pieces-2,"
                  The reigning Computer Chess Champion is Leela Chess Zero, the neural network heir to AlphaZero. Check out a selection of Lc0's greatest games! 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
The Value Of The ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,The Top 10 Chess Books Every Chess Player Should Read,https://www.chess.com/article/view/top-10-chess-books,"
                  Get your reading glasses out for this article! 
The number of books written about chess is tremendous. While that can be great for the chess world, it poses practical issues for many fans. Most chess players have their own favorites, but how do y...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Chess Board Dimensions | Basics and Guidelines,https://www.chess.com/article/view/chess-board-dimensions,"
                  Chess board dimensions aren't as simple as one might think.  The basic geometry of the chess board isn't difficult to grasp, but chess board dimensions also include the size of the squares on the board.  One of the most important aspects...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
Gserper,https://www.chess.com/member/gserper,The Attacking Set-Up That Always Wins,https://www.chess.com/article/view/the-attacking-set-up-that-always-wins,"
                  Any experienced player knows that chess is all about pattern recognition. At least this is true of chess played by humans. In this article, I argued that one of the biggest competitive advantages World Champion Magnus Carlsen has is his unique mem...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,History of Chess | From Early Stages to Magnus,https://www.chess.com/article/view/history-of-chess,"
                  Chess has a long and storied history. The game has changed quite a bit from its earliest forms in India. The modern iteration we enjoy today wasn't known until the 16th century. There were no clocks, and the pieces were not standardized until...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,How Chess Games Can End: 8 Ways Explained,https://www.chess.com/article/view/how-chess-games-can-end-8-ways-explained,"
                  There are many ways to end a chess game. 
Sometimes the result is clear. However, there are situations when some players have questions about the result or why the game suddenly finished. 
To clarify these situations, here are eight typical ways...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
Gserper,https://www.chess.com/member/gserper,How To Become A Chess Master,https://www.chess.com/article/view/how-to-become-a-chess-master,"
                  For an average beginner, the road to a rating in the range of 1400-1600 is pretty straightforward. Learn as many tactical patterns as possible, get yourself familiar with some basic opening principles, and you are there! Notice, I said that the ro...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,A Chess Coach's Favorite Problems,https://www.chess.com/article/view/a-chess-coachs-favorite-problems-1,"
                  Are your ready to stretch your chess thinking? 
When you're playing a chess game, no one tells you which positions require tactical or positional solutions. GM Surya Ganguly provides several practice examples. See if you're up for the challe...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
SmarterChess,https://www.chess.com/member/smarterchess,Join The Study To Evaluate Chess.com Lessons,https://www.chess.com/article/view/join-the-study-to-evaluate-chess-com-lessons,"
                  Chess.com is looking to recruit volunteers for a study on the effectiveness of Chess.com lessons and training.   
Participants will be randomized into three groups: (1) members who complete exactly one Chess.com lesson per day; (2) members w...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
erik,https://www.chess.com/member/erik,Chess Notation - The Language of the Game,https://www.chess.com/article/view/chess-notation,"
                  Chess notation is a convenient way to keep track of games, so that you can replay them to study tactics, understand mistakes, or impress your friends. Try out chess notation in your next game - you'll find that nothing is more satisfying than that...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,The Best Chess Openings For Beginners,https://www.chess.com/article/view/the-best-chess-openings-for-beginners,"
                  The first few moves of a chess game can be some of the most important moves you make. In those moves, you will establish your early plans and fight for your place on the board. Most beginners don’t need to memorize exact opening moves and sh...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Name Your Pawns,https://www.chess.com/article/view/name-your-pawns-the-queenside,"
                  Learn the best way to use your pawns to help you win the game! Simon Williams, the Ginger GM demonstrates the best uses of each pawn and their unique strengths and weaknesses. 
Try The Challenges!
Not what you're looking for? Go back to the...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Silman,https://www.chess.com/member/silman,How To Build Winning Chess Positions,https://www.chess.com/article/view/how-to-build-winning-chess-positions,"
                  In chess, beginners find that they don't know much about the openings, have a small amount of tactical understanding, and positional play is something from Mars. Fortunately, after a while, you will get a bit better. However, if you really want to...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,Defending Difficult Positions,https://www.chess.com/article/view/defending-difficult-positions,"
                  How should you handle tough positions? NM Jeremy Kane has faced his share and demonstrates three techniques to handle trouble. You can complicate and get counterplay. You can simplify to a draw, or you can persistently improve your pieces until th...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,How To Set Up A Chessboard,https://www.chess.com/article/view/how-to-set-up-a-chessboard,"
                  If you have a chess set and want to start a game, the first thing you need to do is get the board set up correctly. 

Lay out the light square in the bottom-right corner
Set up the pawns on the second rank
Put your rooks in the corners
Place ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,How To Defend,https://www.chess.com/article/view/how-to-defend,"
                  How do grandmasters avoid losing, even when they get into trouble? Join GM Dejan Bojkov as he demonstrates his five key strategies for defending bad positions: recognizing key priorities, fortresses, stalemates, perpetual checks, and ""the sticking...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CoachJKane,https://www.chess.com/member/coachjkane,Breaking Down Closed Positions,https://www.chess.com/article/view/breaking-down-closed-positions,"
                  Do you ever find yourself confused in closed positions? 
GM Jon Ludvig Hammer knows just what to do. Check out how he closed positions stop them from winning good positions. 

See how Vishy Anand ground out a beautiful win against Hammer.
Chec...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Gserper,https://www.chess.com/member/gserper,Capablanca's Mysterious Brilliancy,https://www.chess.com/article/view/capablanca-mysterious-brilliancy,"
                  The first Capablanca book that I read was ""My Chess Career."" In the very first pages, I could see that it was completely different from any chess book that I read before. It was almost like an advertisement where every single sentence was screamin...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,The Most Important Square,https://www.chess.com/article/view/the-most-important-square,"
                  Ask a dozen chess players what their favorite square is, and quite likely you'll get a dozen of different answers. I suspect all four central squares (d4, d5, e4, and e5) will be on the list. While it is difficult to dispute the importance of...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,Chess Lessons That Will Make You A Winner,https://www.chess.com/article/view/chess-lessons-that-will-make-you-a-winner,"
                  Last year, I wrote an article intended for players rated below 1000 on Chess.com. Judging by your response, the article was helpful for people just starting at chess. 
Of course there were many comments that can be summarized like this: ""I am rat...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Your 1st Tournament,https://www.chess.com/article/view/your-1st-tournament,"
                  In this series, GM Ben Finegold gives priceless advice for young players, who are trying out their first real-life tournament after playing online. 
The course covers essentials like legal moves and chess notation and gives hints about time manag...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
Gserper,https://www.chess.com/member/gserper,Are You A Good Chess Player?,https://www.chess.com/article/view/are-you-a-good-chess-player,"
                  Last week's article about Puzzle Rush provided great feedback, so I would like to thank you for your comments. When I see that people from different countries, different political views and different playing strength share passion for chess, I fee...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
DanielNaroditsky,https://www.chess.com/member/danielnaroditsky,The Chess Investigator: Analyze Your Mistakes,https://www.chess.com/article/view/the-chess-investigator,"
                  When I reflect on the earliest stages of my chess career, it's not the thrill of victory, the five-foot trophies that I could barely lift from the ground, or even the accolades, certificates and triple-digit rating gains that dominate my recollect...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Gserper,https://www.chess.com/member/gserper,The Big Secret Of Opposite-Colored Bishops,https://www.chess.com/article/view/opposite-colored-bishops-1,"
                  The 10th world champion Boris Spassky was married three times, but unfortunately all three marriages ended in divorce. Describing his first marriage, Spassky famously said, ""we were like bishops of opposite color."" 
When I saw this catchy phrase ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,Use Your Pieces Tactically,https://www.chess.com/article/view/use-your-pieces-tactically,"
                  Want to get the most out of each piece? GM Dejan Bojkov demonstrates how to create tactical opportunities and coordinate every piece in your attack! 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
Use Your Pi...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
CHESScom,https://www.chess.com/member/chesscom,New Lesson Series: WGM Tatev Abrahamyan's Favorite Studies,https://www.chess.com/article/view/tatevs-favorite-studies,"
                  In Chess.com's newest video and lesson series, WGM Tatev Abrahamyan demonstrates studies by the great composer Alois Wotawa. Tatev shows how to solve these tricky studies and provides calculation tips for your own puzzles and games. 
Try The Chal...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,Greed In Chess Is Good!,https://www.chess.com/article/view/greed-in-chess-is-good,"
                  I really appreciate my readers' feedback and therefore always read your comments to my articles. One of them, by the Chess.com member rossmckinley1224, made me think.  
Ross wrote: ""For those of us struggling to achieve a 1000 rating on Ches...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
Gserper,https://www.chess.com/member/gserper,Wild Chess Fights: Queen vs 2 Rooks,https://www.chess.com/article/view/the-wild-chess-fights-queen-vs-two-rooks,"
                  Positions with material imbalances are difficult to play, especially for less-experienced chess players. 
You will never see a positional queen sacrifice or an exchange sacrifice in games played by people rated below 1700 or 1800. At this level, ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
