author,previewPDFURL,price,url,name,type,producer,productImage
,https://cdn.shopify.com/s/files/1/0080/9284/4094/files/Opening_Repertoire_The_Grunfeld_extracts.pdf?v=1605611371,27.95,https://everymanchess.com/collections/openings-books/products/opening-repertoire-the-grunfeld-defence,Opening Repertoire: The Grünfeld Defence,Book,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781781945742-FCORTheGrunfeldDefence_1024x1024@2x.jpg?v=1605620336
John Emms,,21.95,https://everymanchess.com/collections/openings-books/products/first-steps-1e4e5,First Steps: 1 e4 e5,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/8edd4e9429e464b757699bb0f7a5c951_1024x1024@2x.jpg?v=1542922646
,,24.95,https://everymanchess.com/collections/openings-books/products/essential-endgames,Essential Endgames,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/c4dfea9e41d20c3bb8834ddfb4dbff91_1024x1024@2x.jpg?v=1542922638
Cyrus Lakdawala,,21.95,https://everymanchess.com/collections/openings-books/products/first-steps-the-scandinavian,First Steps: The Scandinavian,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/2c11286b74113f609fd56b5818c67bee_1024x1024@2x.jpg?v=1542922650
,,24.95,https://everymanchess.com/collections/openings-books/products/fighting-chess-with-black,Fighting Chess with Black,Book,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/ee6f5a98d725e05b8160c00dedaa9b6f_1024x1024@2x.jpg?v=1542922642
Andrew Martin,,21.95,https://everymanchess.com/collections/openings-books/products/first-steps-the-caro-kann,First Steps: Caro-Kann Defence,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/88338a26b3b3a42407e08f6912cec319_1024x1024@2x.jpg?v=1542922648
Junior Tay,,21.95,https://everymanchess.com/collections/openings-books/products/the-schliemann-defence-move-by-move,The Schliemann Defence: Move by Move,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/34ca38f01d462fd48030bf98cbeef10c_1024x1024@2x.jpg?v=1542922744
,,19.95,https://everymanchess.com/collections/openings-books/products/aggressive-counterattacking-repertoire-based-on-g6,An Aggressive Counterattacking Repertoire Based on ...g6,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/7f51c9ec5ddadbc6ba3184a0d5f6af85_1024x1024@2x.jpg?v=1542922606
,,21.95,https://everymanchess.com/collections/openings-books/products/opening-repertoire-the-french-defence,Opening Repertoire: The French Defence,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781781945070-FC_OR_French_defence_1_1024x1024@2x.jpg?v=1546937839
,https://cdn.shopify.com/s/files/1/0080/9284/4094/files/OR_Modern_Benoni_extract.pdf?147,21.95,https://everymanchess.com/collections/openings-books/products/opening-repertoire-the-modern-benoni,Opening Repertoire: The Modern Benoni,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781781945261-FC_OR_Modern_Benoni_1024x1024@2x.jpg?v=1582537613
,,26.95,https://everymanchess.com/collections/openings-books/products/a-complete-repertoire-for-white-based-on-1-c4,A Complete Repertoire for White Based on 1 c4,Book,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781781944974_1024x1024@2x.jpg?v=1556542992
,,19.95,https://everymanchess.com/collections/openings-books/products/the-modern-interpretation-of-two-classical-systems,The Modern Interpretation of Two Classical Systems,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781781945032_1024x1024@2x.jpg?v=1556545596
,,21.95,https://everymanchess.com/collections/openings-books/products/opening-repertoire-the-petroff-defence,Opening Repertoire: The Petroff Defence,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781781945391-FC_OR_Petroff_defence_1024x1024@2x.jpg?v=1557912296
