author,previewPDFURL,price,url,name,type,producer,productImage
Vladimir Vukovic,,19.95,https://everymanchess.com/collections/training/products/art-of-attack-in-chess,Art of Attack in Chess,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/9781857444001_1024x1024@2x.jpg?v=1591092978
Gary Lane,,16.95,https://everymanchess.com/collections/training/products/prepare-to-attack,Prepare to Attack,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/d90ed93a10044071349ba347c6280270_1024x1024@2x.jpg?v=1542116115
Yasser Seirawan,,19.95,https://everymanchess.com/collections/training/products/winning-chess-tactics-revised-edition,"Winning Chess Tactics, revised edition",eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/ac91f68ad16a267008ac7e4191b77f96_1024x1024@2x.jpg?v=1542115595
,,19.95,https://everymanchess.com/collections/training/products/play-winning-chess,Play Winning Chess,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/87b12e3d8f09d268dda1f02da276a838_1024x1024@2x.jpg?v=1542115288
Chris Ward,,12.99,https://everymanchess.com/collections/training/products/starting-out-chess-tactics-and-checkmates,Starting Out: Chess Tactics and Checkmates,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/5c6d907da5a1483306ebaec8e7bfc1bc_1024x1024@2x.jpg?v=1542115677
Chris Ward,,9.99,https://everymanchess.com/collections/training/products/its-your-move,It's Your Move,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/dab12f7f3857f2136cf438e0f1526f78_1024x1024@2x.jpg?v=1542114972
Zenón Franco,,15.99,https://everymanchess.com/collections/training/products/test-your-chess,Test Your Chess,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/26119459e92fe9a2d96530891cf8b9ae_1024x1024@2x.jpg?v=1542116452
Colin Crouch,,19.95,https://everymanchess.com/collections/training/products/fighting-chess-move-by-move,Fighting Chess: Move by Move,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/31821d7b623abcb29b0cd65e4848c86f_1024x1024@2x.jpg?v=1542116324
Yasser Seirawan,,19.95,https://everymanchess.com/collections/training/products/winning-chess-strategies-revised-edtion,"Winning Chess Strategies, revised edtion",eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/7398403601e53091290b8c6aabab7ac0_1024x1024@2x.jpg?v=1542115591
Jacob Aagaard,,14.95,https://everymanchess.com/collections/training/products/excelling-at-chess-calculation-capitalising-on-tactical-chances,Excelling at Chess Calculation: Capitalising on tactical chances,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/84820e12e8a9aff0477272596e2ea038_1024x1024@2x.jpg?v=1542115512
,,19.95,https://everymanchess.com/collections/training/products/the-greatest-ever-chess-strategies,The Greatest Ever Chess Strategies,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/4b213a16bed458adcc10ecadc03faae9_1024x1024@2x.jpg?v=1542116209
Jose Capablanca,,9.99,https://everymanchess.com/collections/training/products/chess-fundamentals,Chess Fundamentals,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/64793d2a422393c126e3df4a85d479b2_1024x1024@2x.jpg?v=1542114872
Glenn Flear,,10.99,https://everymanchess.com/collections/training/products/improve-your-endgame-play,Improve Your Endgame Play,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/6b971574cf60cf3573f5efb06311adf2_1024x1024@2x.jpg?v=1542114957
,,14.95,https://everymanchess.com/collections/training/products/starting-out-pawn-endgames,Starting Out: Pawn Endgames,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/1eee98042fd4122df5bc37b8c94110ab_1024x1024@2x.jpg?v=1542115463
,,,https://everymanchess.com/collections/training/products/the-art-of-defence-in-chess,The Art of Defence in Chess,Book,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/4b89b01ec2f6ca6adb05aa1f02a1f06e_1024x1024@2x.jpg?v=1542114829
,,9.99,https://everymanchess.com/collections/training/products/concise-chess-endings,Concise Chess Endings,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/776de0605d928f942edbcb3206babcef_1024x1024@2x.jpg?v=1542115259
,,,https://everymanchess.com/collections/training/products/basic-chess-openings,Basic Chess Openings,Book,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/4c1748cae6f9b7951b9a9e3ddd45621d_1024x1024@2x.jpg?v=1542114843
Chris Ward,,14.95,https://everymanchess.com/collections/training/products/starting-out-rook-endgames,Starting Out: Rook Endgames,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/a4c33ceda6538c3fec445ec159690de3_1024x1024@2x.jpg?v=1542115612
,,9.99,https://everymanchess.com/collections/training/products/attack-with-mikhail-tal,Attack with Mikhail Tal,eBook,Everyman Chess,//cdn.shopify.com/s/files/1/0080/9284/4094/products/5db085063ce8a23d9aeef0a39037cc63_1024x1024@2x.jpg?v=1542114840
