author,price,name,producer,url,productImage,previewPDFURL
Giddins,24.95,50 Essential Chess Lessons,Gambit Publications,http://www.gambitbooks.com/books/50_Essential_Chess_Lessons.html,http://www.gambitbooks.com/bigimg/50_Essential_Chess_Lessons_Big.jpg,http://www.gambitbooks.com/pdfs/50_Essential_Chess_Lessons.pdf
Giddins,14.95,50 Ways to Win at Chess,Gambit Publications,http://www.gambitbooks.com/books/50_Ways_to_Win_at_Chess.html,http://www.gambitbooks.com/bigimg/50_Ways_to_Win_at_Chess_Big.jpg,http://www.gambitbooks.com/pdfs/50_Ways_to_Win_at_Chess.pdf
Gallagher,17.95,101 Attacking Ideas in Chess,Gambit Publications,http://www.gambitbooks.com/books/101_Attacking_Ideas_in_Chess.html,http://www.gambitbooks.com/bigimg/101_Attacking_Ideas_in_Chess_Big.jpg,http://www.gambitbooks.com/pdfs/101_Attacking_Ideas_in_Chess.pdf
Nunn,19.95,101 Brilliant Chess Miniatures,Gambit Publications,http://www.gambitbooks.com/books/101_Brilliant_Chess_Miniatures.html,http://www.gambitbooks.com/bigimg/101_Brilliant_Chess_Miniatures_Big.jpg,http://www.gambitbooks.com/pdfs/101_Brilliant_Chess_Miniatures.pdf
Giddins,19.95,101 Chess Endgame Tips,Gambit Publications,http://www.gambitbooks.com/books/101_Chess_Endgame_Tips.html,http://www.gambitbooks.com/bigimg/101_Chess_Endgame_Tips_Big.jpg,http://www.gambitbooks.com/pdfs/101_Chess_Endgame_Tips.pdf
Giddins,14.95,101 Chess Opening Traps,Gambit Publications,http://www.gambitbooks.com/books/101_Chess_Opening_Traps.html,http://www.gambitbooks.com/bigimg/101_Chess_Opening_Traps_Big.jpg,http://www.gambitbooks.com/pdfs/101_Chess_Opening_Traps.pdf
Giddins,14.95,101 Chess Questions Answered,Gambit Publications,http://www.gambitbooks.com/books/101_Chess_Questions_Answered.html,http://www.gambitbooks.com/bigimg/101_Chess_Questions_Answered_Big.jpg,http://www.gambitbooks.com/pdfs/101_Chess_Questions_Answered.pdf
Dunnington,17.95,101 Winning Chess Strategies,Gambit Publications,http://www.gambitbooks.com/books/101_Winning_Chess_Strategies.html,http://www.gambitbooks.com/bigimg/101_Winning_Chess_Strategies_Big.jpg,http://www.gambitbooks.com/pdfs/101_Winning_Chess_Strategies.pdf
Nunn,24.95,1001 Deadly Checkmates,Gambit Publications,http://www.gambitbooks.com/books/1001_Deadly_Checkmates.html,http://www.gambitbooks.com/bigimg/1001_Deadly_Checkmates_Big.jpg,http://www.gambitbooks.com/pdfs/1001_Deadly_Checkmates.pdf
Burgess,21.95,125 Chess Opening Surprises,Gambit Publications,http://www.gambitbooks.com/books/125_Chess_Opening_Surprises.html,http://www.gambitbooks.com/bigimg/125_Chess_Opening_Surprises_Big.jpg,http://www.gambitbooks.com/pdfs/125_Chess_Opening_Surprises.pdf
Gallagher,14.95,365 Ways to Checkmate,Gambit Publications,http://www.gambitbooks.com/books/365_Ways_to_Checkmate.html,http://www.gambitbooks.com/bigimg/365_Ways_to_Checkmate_Big.jpg,http://www.gambitbooks.com/pdfs/365_Ways_to_Checkmate.pdf
