author,previewPDFURL,price,url,ASIN,name,producer,productImage
Jan Markos,https://www.qualitychess.co.uk/ebooks/UndertheSurface-excerpt.pdf,24.99,https://www.qualitychess.co.uk/products/2/314/under_the_surface_by_jan_markos/,1784830488,Under the Surface,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2017-12-06-5a27fada8a5bd.jpg
John Shaw,https://www.qualitychess.co.uk/ebooks/Playing1e4FrenchDefenceSicilianSidelines-excerpt.pdf,24.99,https://www.qualitychess.co.uk/products/1/318/playing_1e4_-_french_defence_and_sicilian_sidelines_by_john_shaw/,1784830704,Playing 1.e4 - French Defence and Sicilian Sidelines,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-03-20-5ab0ffc4b46f2.jpg
John Shaw,https://www.qualitychess.co.uk/ebooks/Playing1e4SicilianMainLines-excerpt.pdf,24.99,https://www.qualitychess.co.uk/products/1/320/playing_1e4_-_sicilian_main_lines_by_john_shaw/,1784830720,Playing 1.e4 - Sicilian Main Lines,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-03-20-5ab1012b72690.jpg
Axel Smith,https://www.qualitychess.co.uk/ebooks/WoodpeckerMethod-excerpt.pdf,27.99,https://www.qualitychess.co.uk/products/2/327/the_woodpecker_method_by_axel_smith_and_hans_tikkanen/,1784830542,The Woodpecker Method,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-05-29-5b0d24973f71f.jpg
Michael Roiz,https://www.qualitychess.co.uk/ebooks/TheQueensIndian-excerpt.pdf,27.99,https://www.qualitychess.co.uk/products/1/325/the_queens_indian_defence_by_michael_roiz/,,The Queen's Indian Defence,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-03-26-5ab8cf6d121c8.jpg
Jaan Ehlvest,https://www.qualitychess.co.uk/ebooks/GrandmasterOpeningPreparation-excerpt.pdf,25.99,https://www.qualitychess.co.uk/products/1/323/grandmaster_opening_preparation_by_jaan_ehlvest/,,Grandmaster Opening Preparation,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-03-21-5ab241a4c6d6f.jpg
Alexander Kotov,https://www.qualitychess.co.uk/ebooks/ScienceofStrategy-excerpt.pdf,24.99,https://www.qualitychess.co.uk/products/2/339/the_science_of_strategy_by_alexander_kotov/,,The Science of Strategy,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2019-03-04-5c7d14b72f94b.jpg
Carsten Hensel,https://www.qualitychess.co.uk/ebooks/VladimirKramnik-excerpt.pdf,24.99,https://www.qualitychess.co.uk/products/2/335/vladimir_kramnik_-_the_inside_story_of_a_chess_genius_hardcover_by_carsten_hensel/,,Vladimir Kramnik - The Inside Story of a Chess Genius (hardcover),Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-10-26-5bd2e4fc13b34.jpg
Boris Avrukh,https://www.qualitychess.co.uk/ebooks/DynamicDefences-excerpt.pdf,29.99,https://www.qualitychess.co.uk/products/1/337/grandmaster_repertoire_2b_-_dynamic_systems_by_boris_avrukh/,,Grandmaster Repertoire 2B - Dynamic Systems,Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-11-23-5bf7f413c4902.jpg
Yochanan Afek,https://www.qualitychess.co.uk/ebooks/PracticalChessBeauty-excerpt.pdf,32.99,https://www.qualitychess.co.uk/products/2/333/practical_chess_beauty_hardcover_by_yochanan_afek/,,Practical Chess Beauty (hardcover),Quality Chess,//www.qualitychess.co.uk/productimages/display/SS-image-2018-09-17-5b9f832fe8ede.jpg
